Country.of.Origin,Species,Owner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Cuper.Points
Brazil,Arabica,bourbon specialty coffees,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,10.0,7.5,82.17,0.12,0,0,Green,1.0,7.5
"Tanzania, United Republic Of",Arabica,tembo coffee company ltd,Other,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,7.25,82.17,0.12,0,0,Green,1.0,7.25
Mexico,Arabica,j.andrade,Other,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,7.33,82.17,0.12,0,0,Green,0.0,7.33
Mexico,Arabica,lusso lab,Other,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,82.17,0.1,1,0,None,1.0,7.5
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.17,82.17,0.11,0,0,Green,0.0,7.17
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,7.58,82.17,0.0,0,0,Green,0.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,7.5,82.17,0.0,0,0,Bluish-Green,1.0,7.5
Mexico,Arabica,saul m. hernandez ramirez,Typica,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.17,0.15,1,0,None,9.0,7.67
Guatemala,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.25,7.75,7.0,7.75,8.17,7.75,10.0,10.0,9.33,7.17,82.17,0.12,0,0,None,2.0,7.17
Mexico,Arabica,salvador caro carrion,Typica,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.5,82.17,0.12,0,0,Green,4.0,7.5
Mexico,Arabica,organizaciones de productores de cafe colimense,Typica,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.17,0.1,0,0,Green,1.0,7.58
Colombia,Arabica,raÃºl vargas,Caturra,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10.0,7.58,82.08,0.0,0,7,Green,6.0,7.58
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.5,82.08,0.11,0,1,Green,3.0,7.5
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,10.0,7.25,82.08,0.0,0,0,Green,1.0,7.25
Costa Rica,Arabica,"cafetalera internacional cafinter, s.a.",Caturra,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10.0,10.0,10.0,7.67,82.08,0.0,0,0,Blue-Green,0.0,7.67
"Tanzania, United Republic Of",Arabica,balam hinyula,Bourbon,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.42,82.08,0.12,0,0,Green,5.0,7.42
"Tanzania, United Republic Of",Arabica,ngorogoro convenant estate,Other,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10.0,10.0,10.0,7.5,82.08,0.12,0,0,Green,3.0,7.5
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.33,82.08,0.11,0,0,Green,2.0,7.33
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,7.5,82.08,0.11,0,0,Bluish-Green,0.0,7.5
Mexico,Arabica,"el equimite, cafetal biodinÃ¡mico",Typica,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10.0,10.0,10.0,7.42,82.08,0.13,0,0,Green,7.0,7.42
Mexico,Arabica,julio perez hernandez,Typica,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,82.08,0.13,3,0,Green,13.0,7.5
Mexico,Arabica,rosa aurora falcon fernandez,Typica,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,7.33,82.08,0.11,0,0,Green,11.0,7.33
Vietnam,Arabica,royal base corporation,Other,Natural / Dry,7.67,8,7.17,7.08,7.67,7.08,10.0,10.0,10.0,7.42,82.08,0.12,0,0,Green,2.0,7.42
Mexico,Arabica,sergio de la vequia bernardi,Typica,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,7.33,82.08,0.11,0,0,Green,1.0,7.33
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,7.42,82.08,0.1,0,0,Green,2.0,7.42
Honduras,Arabica,bismarck castro,Caturra,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,0.12,0,0,Green,1.0,7.42
Honduras,Arabica,bismarck castro,Caturra,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.5,82.0,0.1,0,1,Green,7.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.5,82.0,0.11,0,2,Green,3.0,7.5
"Tanzania, United Republic Of",Arabica,didas,Other,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.42,82.0,0.13,0,0,Green,20.0,7.42
Laos,Arabica,minwook ku,Other,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,7.5,82.0,0.12,0,0,Blue-Green,0.0,7.5
"Tanzania, United Republic Of",Arabica,finca estate,Other,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.5,82.0,0.12,0,0,Green,3.0,7.5
Malawi,Arabica,afca,Gesha,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.33,82.0,0.13,0,0,Bluish-Green,1.0,7.33
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.75,82.0,0.09,0,0,Green,0.0,7.75
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,7.33,82.0,0.1,0,0,Green,4.0,7.33
Honduras,Arabica,beneficio santa rosa,Caturra,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,7.17,82.0,0.11,0,0,Green,5.0,7.17
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.17,82.0,0.11,0,0,Green,1.0,7.17
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,10.0,7.42,82.0,0.12,0,0,Bluish-Green,0.0,7.42
Brazil,Arabica,owen carver,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,82.0,0.11,0,0,Blue-Green,0.0,7.67
Mexico,Arabica,jorge octavio escamilla prado,Typica,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82.0,0.12,0,0,Green,1.0,7.42
Brazil,Arabica,nucoffee,Mundo Novo,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.42,82.0,0.12,0,0,Green,1.0,7.42
Brazil,Arabica,nucoffee,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,0.11,0,0,Blue-Green,1.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,7.17,82.0,0.11,0,0,Green,3.0,7.17
Brazil,Arabica,nucoffee,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.33,82.0,0.12,0,0,Green,2.0,7.33
Guatemala,Arabica,felipe isaza,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,7.42,82.0,0.0,0,0,Green,10.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,7.58,81.92,0.1,0,0,Green,1.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.42,81.92,0.11,0,2,Green,0.0,7.42
Honduras,Arabica,bismarck castro,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0,Green,1.0,7.33
Brazil,Arabica,gabriel barbara,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,7.5,81.92,0.11,0,0,Green,4.0,7.5
El Salvador,Arabica,consejo salvadoreÃ±o del cafÃ©,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,7.33,81.92,0.11,0,0,Green,2.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,7.25,81.92,0.11,0,0,Green,7.0,7.25
"Tanzania, United Republic Of",Arabica,mcomafa co ltd,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,7.42,81.92,0.12,0,0,Green,4.0,7.42
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,7.25,81.92,0.11,0,0,Green,0.0,7.25
Mexico,Arabica,calixto guillen vazquez,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,7.25,81.92,0.12,0,0,Green,6.0,7.25
Mexico,Arabica,saul m. hernandez ramirez,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,7.42,81.92,0.13,2,0,None,7.0,7.42
Mexico,Arabica,saul m. hernandez ramirez,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.58,81.92,0.14,2,0,None,8.0,7.58
Mexico,Arabica,juan hermilio sampieri carcamo,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,7.5,81.92,0.12,0,0,Green,4.0,7.5
Mexico,Arabica,modesto landeros flores,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,7.33,81.92,0.12,0,0,Green,0.0,7.33
Brazil,Arabica,nucoffee,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0,Green,3.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.42,81.83,0.1,1,0,Green,1.0,7.42
Costa Rica,Arabica,troy quimby,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,7.33,81.83,0.0,1,0,Green,4.0,7.33
Brazil,Arabica,gabriel barbara,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,0.11,0,1,Green,3.0,7.33
Indonesia,Arabica,aulia arif syahri,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,81.83,0.11,0,1,Green,0.0,5.17
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,81.83,0.1,2,0,Green,6.0,7.17
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,7.75,81.83,0.0,0,0,Green,1.0,7.75
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.58,7,6.92,6.92,7.67,7.5,10.0,10.0,10.0,8.25,81.83,0.0,0,0,Green,0.0,8.25
Myanmar,Arabica,u mg mg,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,7.33,81.83,0.0,0,0,Green,2.0,7.33
Mexico,Arabica,viridiana,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,7.42,81.83,0.11,0,0,Green,7.0,7.42
Honduras,Arabica,cadexsa,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,0.12,0,0,Green,1.0,7.33
Costa Rica,Arabica,"cafetalera internacional cafinter, s.a.",Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,7.42,81.83,0.09,0,0,Green,0.0,7.42
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,7.33,81.83,0.0,0,0,Green,0.0,7.33
Indonesia,Arabica,essencecoffee,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,7.42,81.83,0.11,2,0,None,6.0,7.42
Malawi,Arabica,afca,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.42,81.83,0.13,0,0,Green,0.0,7.42
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,81.83,0.11,0,0,Green,0.0,7.33
Mexico,Arabica,kurt kappeli,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.5,81.83,0.11,0,0,Green,0.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,10.0,7.33,81.83,0.0,2,0,Bluish-Green,0.0,7.33
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8.0,7.83,7.83,10.0,6.67,10.0,8,81.83,0.0,1,0,Bluish-Green,1.0,8.0
Brazil,Arabica,jacques pereira carneiro,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,0.12,0,0,Bluish-Green,0.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10.0,9.33,7.5,81.83,0.11,0,0,Green,1.0,7.5
Mexico,Arabica,christina dusing,Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,7.25,81.83,0.12,0,0,Green,2.0,7.25
Mexico,Arabica,jorge francisco martinez hachity,Typica,Semi-washed / Semi-pulped,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,10.0,7.42,81.83,0.12,0,0,Green,10.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.75,0.11,0,1,Green,1.0,7.33
Vietnam,Arabica,"sunvirtue co., ltd.",Caturra,Washed / Wet,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,8,81.75,0.12,0,0,Bluish-Green,0.0,8.0
"Tanzania, United Republic Of",Arabica,ngorogoro convenant estate,Other,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,81.75,0.12,0,0,Bluish-Green,4.0,7.42
Mexico,Arabica,saul m. hernandez ramirez,Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,7.5,81.75,0.13,2,0,None,9.0,7.5
Mexico,Arabica,sergio landa alarcon,Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.25,81.75,0.13,0,0,Green,23.0,7.25
Mexico,Arabica,diego manuel woolrich ramirez,Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.25,81.75,0.11,0,0,Green,1.0,7.25
Mexico,Arabica,armando luis pohlenz martinez,Caturra,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,10.0,7.33,81.75,0.12,10,0,Green,14.0,7.33
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.17,81.75,0.0,0,0,Green,1.0,7.17
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.25,81.67,0.11,0,0,Green,5.0,7.25
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,0.1,0,0,Green,1.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.33,81.67,0.12,0,1,Green,3.0,7.33
Honduras,Arabica,cadexsa,Catuai,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10.0,10.0,10.0,7.25,81.67,0.11,0,0,Blue-Green,2.0,7.25
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.25,7.75,6.92,7.42,7.5,7.58,10.0,10.0,10.0,7.25,81.67,0.0,0,0,Green,0.0,7.25
"Tanzania, United Republic Of",Arabica,dae ltd company,Other,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10.0,10.0,10.0,7.33,81.67,0.12,0,0,Green,0.0,7.33
"Tanzania, United Republic Of",Arabica,tembo coffee company ltd,Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,7.5,81.67,0.12,0,0,Green,7.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.33,81.67,0.1,0,0,Green,2.0,7.33
Indonesia,Arabica,chris finch,Sumatra,Semi-washed / Semi-pulped,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,0.11,0,0,Bluish-Green,0.0,7.58
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,10.0,8.08,81.67,0.11,0,0,Green,3.0,8.08
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10.0,10.0,10.0,7.25,81.67,0.11,0,0,Green,0.0,7.25
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.25,81.67,0.11,0,0,Green,0.0,7.25
Mexico,Arabica,fredy gordillo reyes,Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,7.42,81.67,0.12,0,0,Green,6.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.17,81.67,0.11,0,0,Green,4.0,7.17
Mexico,Arabica,virginia gordillo gordillo,Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,7.58,81.67,0.13,1,0,Green,13.0,7.58
Mexico,Arabica,jose luis munoz guerrero,Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,7.08,81.67,0.11,0,0,Green,4.0,7.08
Mexico,Arabica,christina dusing,Bourbon,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.17,81.67,0.11,0,0,Green,2.0,7.17
Mexico,Arabica,alfredo bojalil,Bourbon,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,10.0,7.42,81.67,0.11,0,0,Green,2.0,7.42
Mexico,Arabica,miguel cortes moreno,Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,10.0,7.67,81.67,0.11,0,0,Green,4.0,7.67
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Washed / Wet,7.42,7.33,7.33,7.33,7.17,7.83,10.0,10.0,10.0,7.25,81.67,0.1,1,0,Green,1.0,7.25
Honduras,Arabica,mdh,Catimor,Washed / Wet,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,10.0,7.33,81.58,0.11,0,1,Blue-Green,3.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.42,7.42,7.08,7.5,7.42,7.33,10.0,10.0,10.0,7.42,81.58,0.12,0,0,Green,0.0,7.42
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,7.25,81.58,0.1,0,0,Blue-Green,0.0,7.25
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10.0,10.0,10.0,7.25,81.58,0.12,0,0,Green,1.0,7.25
"Tanzania, United Republic Of",Arabica,acacia hills ltd,Other,Washed / Wet,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,10.0,7.25,81.58,0.12,0,0,Green,5.0,7.25
Malawi,Arabica,afca,Gesha,Washed / Wet,7.42,7.42,7.17,7.58,7.33,7.33,10.0,10.0,10.0,7.33,81.58,0.13,0,0,Green,0.0,7.33
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,7.33,81.58,0.12,0,0,Blue-Green,3.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,10.0,7.17,81.58,0.12,0,0,Green,1.0,7.17
Mexico,Arabica,fredy gordillo reyes,Typica,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,7.33,81.58,0.12,0,0,Green,9.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,7.58,81.5,0.1,0,0,Green,0.0,7.58
Nicaragua,Arabica,"exportadora atlantic, s.a.",Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0,Green,3.0,7.33
Honduras,Arabica,elsy reyes,Caturra,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,7.33,81.5,0.1,0,0,Green,5.0,7.33
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10.0,10.0,10.0,7.33,81.5,0.12,0,0,Green,2.0,7.33
Myanmar,Arabica,genius coffee,Catuai,Washed / Wet,7.25,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.42,81.5,0.0,0,0,Green,4.0,7.42
Costa Rica,Arabica,santa laura exportadora de cafe s.l.e.c. s.a.,Caturra,Washed / Wet,7.83,7.33,7.08,7.08,7.33,7.5,10.0,10.0,10.0,7.33,81.5,0.12,1,0,Green,2.0,7.33
Malawi,Arabica,afca,Gesha,Washed / Wet,7.67,7.42,6.92,7.5,7.5,7.17,10.0,10.0,10.0,7.33,81.5,0.12,0,0,Green,0.0,7.33
Guatemala,Arabica,juan luis alvarado romero,Other,Washed / Wet,7.5,7.42,7.17,7.58,7.25,7.42,10.0,10.0,10.0,7.17,81.5,0.12,0,0,Green,0.0,7.17
Brazil,Arabica,jacques pereira carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,0.0,1,0,Green,1.0,7.75
Haiti,Arabica,myriam kaplan-pasternak,Blue Mountain,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0,Bluish-Green,0.0,7.33
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Other,7.5,7.42,7.25,7.25,7.33,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0,Green,0.0,7.42
Mexico,Arabica,alfredo bojalil,Typica,Washed / Wet,7.33,7.33,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.25,81.5,0.13,0,0,Green,2.0,7.25
Mexico,Arabica,alfredo bojalil,Typica,Washed / Wet,7.58,7.42,7.25,7.42,7.33,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0,Green,5.0,7.17
Mexico,Arabica,jose luis munoz guerrero,Catuai,Washed / Wet,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,10.0,7.08,81.5,0.12,0,0,Green,10.0,7.08
Mexico,Arabica,jose luis munoz guerrero,Typica,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.25,81.5,0.11,0,0,Green,6.0,7.25
Mexico,Arabica,tomas edelmann blass,Bourbon,Washed / Wet,7.42,7.42,7.33,7.17,7.25,7.42,10.0,10.0,10.0,7.5,81.5,0.13,0,0,Green,5.0,7.5
Mexico,Arabica,maria de la paz aguilar guillen,Typica,Natural / Dry,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10.0,10.0,7.42,81.5,0.11,0,0,Green,3.0,7.42
Indonesia,Arabica,specialty coffee association of indonesia,Other,Washed / Wet,7.75,7.17,7.17,7.33,7.58,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0,Green,0.0,7.17
Brazil,Arabica,jacques pereira carneiro,Bourbon,Semi-washed / Semi-pulped,7.5,7.42,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0,Blue-Green,2.0,7.17
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.33,7.5,7.33,7.42,7.17,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0,Green,1.0,7.42
Mexico,Arabica,cafes tomari sa de cv,Mundo Novo,Washed / Wet,7.58,7.33,7.08,7.33,7.5,7.33,10.0,10.0,10.0,7.25,81.42,0.12,1,5,Green,17.0,7.25
Guatemala,Arabica,juan luis alvarado romero,Catuai,Washed / Wet,7.42,7.33,7.08,7.58,7.33,7.25,10.0,10.0,10.0,7.42,81.42,0.1,0,0,Green,0.0,7.42
Brazil,Arabica,cafebras,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,6.83,7.42,10.0,10.0,10.0,7.5,81.42,0.11,0,0,Green,2.0,7.5
